volume	page	line	token_index	tibetan_syllable	source_latin_token	source_signature	proposed_latin_target	compatible_accepted_target_count	compatible_competing_form_counts	incompatible_dotted_form_counts	same_tibetan_dotted_evidence_total	old_alignment_category	source_compatible_category	damage_scope	syllable_identity_guard	confidence	suggested_action	context_excerpt	reason_for_deferral
wts_9_m	102	60	2	གང	Mannsh	Manns<FINAL_NASAL>	Mannsṅ	0		gaṅ:75	75	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	མི་གང་ migari Mannshöhe, Klafter.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_9_m	252	19	2	རེངས	auchmoren	auchmore<FINAL_NASAL>	auchmoreṅ	0		reṅs:2	2	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	མོ་རེངས།་ morens auchmoren, mo hreris allein-	Fewer than two case-sensitive compatible dotted anchors are available.
wts_9_m	292	12	2	འཕུང	dpun	dpu<FINAL_NASAL>	dpuṅ	0		phuṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	དམག་འཕུང་ Tdmag dpun.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_9_m	330	13	2	གཡང	g.yan	g.ya<FINAL_NASAL>	g.yaṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	རྨ་གཡང་ནོར་ rma g.yan nor npr. eine Gegend.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_9_m	31	1	2	ནིང	manin	mani<FINAL_NASAL>	maniṅ	0		niṅ:1; miṅ:1	2	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	"མ་ནིང་ཕྲ Em"" manin phrag dog ..."	Fewer than two case-sensitive compatible dotted anchors are available.
wts_9_m	33	2	2	ཕང	pan	pa<FINAL_NASAL>	paṅ	0		phaṅ:7; pbaṅ:1; pphaṅ:1; phyuṅ:1	10	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	"མ་ཕང་ ""ma pan feine Spindel."	Fewer than two case-sensitive compatible dotted anchors are available.
wts_9_m	396	50	1	སྤྲང	smran	smra<FINAL_NASAL>	smraṅ	1		sbraṅ:12; spraṅ:8; spyaṅ:1; sgaṅ:1; smyuṅ:1	24	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	སྤྲང་ smran.	Fewer than two case-sensitive compatible dotted anchors are available.
