decision	volume	unresolved_hits	validator_hits	applied_hits	score	rewrite_class	has_translit_cue	german_risk	from_token	to_token
promote	wts_35_51	17	25	8	6	safe_char_map	1	0	$in	śin
promote	wts_35_51	16	16	0	5	safe_char_map	1	0	moñs	moṅs
promote	wts_35_51	11	11	0	5	safe_char_map	1	0	bañ	baṅ
promote	wts_35_51	9	9	0	4	safe_char_map	1	0	la'añ	la'aṅ
promote	wts_35_51	8	8	0	4	safe_char_map	1	0	Vi$	Viś
promote	wts_35_51	7	7	0	4	safe_char_map	1	0	gsañ	gsaṅ
promote	wts_35_51	6	6	0	4	safe_char_map	1	0	zañs	zaṅs
promote	wts_35_51	5	5	0	4	safe_char_map	1	0	IhK	lhK
hold	wts_35_51	36	36	0	3	other_char_map	1	0	P$	PŚ
hold	wts_35_51	27	27	0	3	other_char_map	1	0	Y$	YŚ
hold	wts_35_51	7	7	0	1	other_char_map	1	0	G$-H	GŚ-H
hold	wts_35_51	5	5	0	3	safe_char_map	0	0	Io	lo
hold	wts_35_51	4	4	0	3	safe_char_map	1	0	Bu-$	Bu-ś
hold	wts_35_51	4	4	0	3	safe_char_map	1	0	añ	aṅ
hold	wts_35_51	4	4	0	3	safe_char_map	1	0	byuñń	byuṅń
hold	wts_35_51	4	4	0	3	safe_char_map	1	0	gsuñs	gsuṅs
hold	wts_35_51	4	4	0	3	safe_char_map	1	0	niñ	niṅ
hold	wts_35_51	4	4	0	3	safe_char_map	1	0	riñs	riṅs
hold	wts_35_51	4	4	0	2	safe_char_map	0	0	Ich'	lch'
hold	wts_35_51	4	4	0	2	safe_char_map	0	0	yIn	yln
hold	wts_35_51	3	3	0	3	safe_char_map	1	0	Ge-Iha	Ge-lha
hold	wts_35_51	3	3	0	3	safe_char_map	1	0	Ih	lh
hold	wts_35_51	3	3	0	3	safe_char_map	1	0	Ihgr	lhgr
hold	wts_35_51	3	3	0	3	safe_char_map	1	0	geuñ	geuṅ
hold	wts_35_51	3	3	0	3	safe_char_map	1	0	kluñ	kluṅ
hold	wts_35_51	3	3	0	3	safe_char_map	1	0	phyuñń	phyuṅń
hold	wts_35_51	3	5	2	3	safe_char_map	1	0	rañs	raṅs
hold	wts_35_51	3	3	0	3	safe_char_map	1	0	sgañ	sgaṅ
hold	wts_35_51	3	3	0	3	safe_char_map	1	0	snañń	snaṅń
hold	wts_35_51	3	4	1	2	safe_char_map	0	0	dGa'-Idan	dGa'-ldan
hold	wts_35_51	3	3	0	2	safe_char_map	0	0	r'Isa	r'lsa
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	Ki-kañ	Ki-kaṅ
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	Sañs	Saṅs
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	beañ	beaṅ
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	btuñ	btuṅ
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	bzuñń	bzuṅń
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	chañs	chaṅs
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	ciñ	ciṅ
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	dbañń	dbaṅń
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	gNam-Iha	gNam-lha
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	gTsañ-pa	gTsaṅ-pa
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	gañs	gaṅs
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	gtiñ	gtiṅ
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	gtsañń	gtsaṅń
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	gyañńs	gyaṅńs
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	kañ	kaṅ
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	rgyañń	rgyaṅń
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	srañ	sraṅ
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	sunañ	sunaṅ
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	tshañs	tshaṅs
hold	wts_35_51	2	2	0	3	safe_char_map	1	0	zuñ	zuṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	$ambh	śambh
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	$rT	śrT
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Bum-thañ	Bum-thaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Duñs	Duṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Gañgā	Gaṅgā
hold	wts_35_51	1	3	2	3	safe_char_map	1	0	Ihe	lhe
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Jañ	Jaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Jo-mo-nañ	Jo-mo-naṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Keñ-śi	Keṅ-śi
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	KloñD	KloṅD
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Kluñ-śod	Kluṅ-śod
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Mañ-mkhar	Maṅ-mkhar
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Moñ	Moṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Myañ	Myaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Nag-señ	Nag-seṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Pad-ma-śoñs	Pad-ma-śoṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Pyiñ-ba	Pyiṅ-ba
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Sroñ	Sroṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Tañ-kun	Taṅ-kun
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Tseñ	Tseṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Tshañs	Tshaṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Vphañ	Vphaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Yab-Iha	Yab-lha
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	Ziñ-po-rje	Ziṅ-po-rje
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	bSam-gtan-gliñ	bSam-gtan-gliṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	ba'añ	ba'aṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	bduñs	bduṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	beiñs	beiṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	brTson-señ	brTson-seṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	brañń	braṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	brdzañńs	brdzaṅńs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	briñ	briṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	brkyañń	brkyaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	bskyañs	bskyaṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	bzuñs	bzuṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	cañ	caṅ
