page	line	entry_id	zone	headword_tibetan	headword_latin	headword_latin_confidence	translit_token_count	german_token_count	audit_candidates	audit_replaced	line_text
1	1	1	headword_line	དྲོད་ཕེབས་	phebs	high	1	0	0	0	དྲོད་ཕེབས་ drod phebs
1	2	1	german_prose_with_translit			none	6	1	0	0	Lex. pho ba'i ~ siṅ ju bar byed pa dang ldan
1	3	1	german_prose_with_translit			none	4	1	0	0	pa = samayā päcanyä grahanyä samanväga-
1	4	1	german_prose			none	0	4	0	0	"tab ""versehen mit einem gleichmäßig [die"
1	5	1	german_prose_with_translit			none	2	1	0	0	"Nahrung] auflösenden Verbrennungsorgan"""
1	6	1	german_prose			none	0	1	0	0	(Mvy 7039).
1	7	2	headword_line	དྲོད་ཕེབས་	phebs	high	2	1	0	0	དྲོད་ཕེབས་ drod phebs auch drod phab dus, drod
1	8	2	german_prose_with_translit			none	1	3	0	0	'bebs dus Bez. für Frühling, vgl.
1	9	2	german_prose			none	0	1	0	0	ScHuH 2012: 1421.
1	10	2	german_prose_with_translit			none	3	1	0	0	Lex. drod 'bebs dus = dpyid ka'i dus (brDa);
1	11	2	german_prose_with_translit			none	2	1	0	0	drod 'bebs dus = dpyid dus (Dagy); drod phab
1	12	2	latin_other			none	5	0	0	0	dus = dpyid ka'i dus lta bu'am mig la'ani yid
1	13	2	german_prose_with_translit			none	2	2	0	0	"(dYgar 'on ba ""wie: Frühlingszeit oder auch"
1	14	2	german_prose_with_translit			none	1	4	0	0	"für das Auge erfreulich"" (brDa)."
1	15	2	tibetan_only	དྲོད་བག་དྲོན་		none	0	0	0	0	དྲོད་བག་དྲོན་ drod bag dron warm.
1	16	2	german_prose_with_translit			none	2	3	0	0	"Lex. tsha drod yod pa ""heiß sein"" (Dagy)."
1	17	2	tibetan_only	དྲོད་བུ་		none	0	2	0	0	དྲོད་བུ་ drod bu ein Gefäß.
1	18	2	german_prose_with_translit			none	2	2	0	0	Lex. snod cig (brDa, Dagy).
1	19	3	headword_line	དྲོད་འབེབས་དུས་	phebs	high	1	0	0	0	དྲོད་འབེབས་དུས་ drod 'bebs dus tdrod phebs.
1	20	3	tibetan_only	དྲོད་མེད་		none	0	2	0	0	དྲོད་མེད་ drod med maßlos, unersättlich.
1	21	3	german_prose_with_translit			none	2	2	0	0	Lex. — nitshod med dam chog ses med pa Zes
1	22	3	german_prose_with_translit			none	1	3	0	0	"pa'i don no ""drod med: i.S.v. maßlos oder"
1	23	3	german_prose_with_translit			none	1	1	0	0	"unersättlich"" (Be'uD 212,3)."
1	24	3	tibetan_only	དྲོད་སྨན་		none	0	0	0	0	དྲོད་སྨན་ drod sman.
1	25	3	german_prose_with_translit			none	1	2	0	0	1. Pfeffer, Langpfeffer, skt. upakulya; vgl.
1	26	3	latin_other			none	1	0	0	0	t'dro 3, dro nar, dro sman.
1	27	3	german_prose			none	0	4	0	0	"Lex. üsana ""Pfeffer"" (Ak 229.36); pi pi"
1	28	3	german_prose			none	0	2	0	0	"lin sogs sman ""Gewürz wie Pfeffer usw."""
1	29	3	latin_other			none	2	0	0	0	(brDa); me drod skyed byed kyi sman
1	30	3	german_prose_with_translit			none	1	2	0	0	"""Heilmittel, das Verdauungswärme erzeugt"""
1	31	3	german_prose_with_translit			none	3	1	0	0	(Dagy); — pi pi lin du don dan (Liś 37,13);
1	32	3	other			none	0	0	0	0	= pi pilin (gYu 292,24).
1	33	3	german_prose			none	0	2	0	0	2. ein Harz.
1	34	3	german_prose_with_translit			none	5	1	0	0	trah chu lṅa ni Sin kun dan / sra rtsi dan /
1	35	3	german_prose_with_translit			none	4	2	0	0	"rgya skegs dan / spra tshil dan / ~ no ""die fünf"
1	36	3	german_prose_with_translit			none	3	2	0	0	Harze sind: siṅ kun, sra rtsi, rgya skegs, spra
1	37	3	german_prose_with_translit			none	2	2	0	0	"tshil und drod sman"" (K1 ka 27922)."
1	38	3	tibetan_only	དྲོད་ཤེས་		none	0	0	0	0	དྲོད་ཤེས་ drod ses
1	39	3	german_prose			none	0	1	0	0	1. Temperatur.
1	40	3	german_prose_with_translit			none	4	2	0	0	"Lex. tsha drod dam tsha gran gi tshad ""Maß"
1	41	3	german_prose			none	0	5	0	0	"von Hitze oder Wärme"" (Dagy)."
1	42	3	german_prose			none	0	4	0	0	2. Vertrauen, Maß an Vertrauen.
1	43	3	latin_other			none	5	0	0	0	"dkyil 'khor rab 'byams bsñen sgrub ~ thebs ""er"
1	44	3	german_prose			none	0	6	0	0	gewann das [höchste] Maß an Vertrauen in
1	45	3	german_prose			none	0	5	0	0	"die Meditation über die zahllosen Mandalas"""
1	46	3	german_prose_with_translit			none	4	1	0	0	(KTh 1: 36,1); na tshod yar yar 'dzegs śin man
1	47	3	german_prose			none	0	2	0	0	"ag — red ""mein Alter stieg weiter und wei-"
1	48	3	german_prose			none	0	6	0	0	ter und ich faßte Vertrauen zu den mündli-
1	49	3	german_prose_with_translit			none	1	1	0	0	"chen Unterweisungen"" (gZer 924,1)."
