family_key	canonical	family_total	near_year_hits	variant_count	non_canonical_total	top_variants	example_line
schuh	SCHUH	66	53	4	50	SchuH:37 | SCHUH:16 | ScHuH:11 | ScHUH:2	SCHUH 2012: 1421.
schwieger	SCHWIEGER	27	20	7	6	SCHWIEGER:21 | SchwiEGeR:1 | SchwiEGER:1 | ScHwieger:1 | ScHwIEGER:1 | SCHwiEGER:1 | SCHwIEGER:1	(SCHWIEGER 2009: VIII).
schneider	SCHNEIDER	7	5	2	1	SCHNEIDER:6 | ScHNEIDER:1	4. Besitzbeleg (ScHNEIDER 2012: XII).
gyur	GYUR	5	3	2	1	GYUR:4 | GyUR:1	vgl. SKAL BZAN ’GyUR MED 1992: 21 ff.; steht
beyer	BEYER	3	2	2	1	BEYER:2 | BEyER:1	nam yan phyag ma byas (metr.) „niemals verehrt jemand die Schar der Sterne ohne den ནི་ 4:/ alttib. auch ni’, topicalizer (BEYER 1992:
imaeda	IMAEDA	2	2	2	1	ImaEDA:1 | IMAEDA:1	PT239 Ms. aus Fonds Pelliot Tibetain. Ed.: IMAEDA et al. 2007, pp. 25
viehbeck	VIEHBECK	2	2	2	1	VIEHBEcK:1 | VIEHBECK:1	pa-Iradition, vgl. VIEHBEcK 2014: 120.
