volume	page	line	token_index	tibetan_syllable	source_latin_token	old_target	new_supported_target	old_anchor_count	new_anchor_count	audit_conclusion	context_excerpt
wts_1_34	1297	53	1	དྲང	dran	draṅ	draṅ	1	43	valid_anchor_added	དྲང་ ?dran
wts_1_34	1297	76	1	དྲང	dran	draṅ	draṅ	1	43	valid_anchor_added	དྲང་ ?dran vgl. Idran po.
wts_1_34	275	182	1	ཁོང	kbon	kboṅ		1	0	malformed_internal_ng_anchor_removed	ཁོང་ kbon;
wts_1_34	276	99	1	ཁོང	khon	khoṅ	khoṅ	1	27	valid_anchor_added	ཁོང་སྙིང་ khon $/7/77 Fisenkette.
wts_1_34	407	140	1	དགུང	dgun	dguṅ	dguṅ	1	10	valid_anchor_added	དགུང་མཉམ་ dgun 77777:777 resp. gleichaltrig.
wts_1_34	495	76	1	སྒོང	sgon	sgoṅ	sgoṅ	1	9	valid_anchor_added	སྒོང་ ?sgon ein Instrument; Ball.
wts_1_34	626	210	5	གཏང	gtan	gtaṅ	gtaṅ	1	10	valid_anchor_added	7055). ཆགས་ཉིལ་ད་གཏང་ chags Mil du gtan nieder-
wts_1_34	953	201	1	སྟང	ston	stoṅ		1	0	malformed_internal_ng_anchor_removed	སྟང་བསང་ ston bsan Vena maxiliaris externa in
