volume	page	line	token_index	tibetan_syllable	latin_source	latin_target	tibetan_role	tibetan_feature	latin_realization	structural_unit	evidence_provenance	source_or_target	independence_class	feature_teaching_status	domain	alignment	confidence
wts_1_34	46	65	2	ལིང	lin	liṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	46	65	2	ལིང	lin	liṅ	pre_coda_structural_unit	ལི	li	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	46	97	2	ལིང	lin	liṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	46	97	2	ལིང	lin	liṅ	pre_coda_structural_unit	ལི	li	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	46	103	2	ལིང	lin	liṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	46	103	2	ལིང	lin	liṅ	pre_coda_structural_unit	ལི	li	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	46	105	2	ལིང	lin	liṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	46	105	2	ལིང	lin	liṅ	pre_coda_structural_unit	ལི	li	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	47	150	3	བོང	bon	boṅ	suffix_coda			token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	role_unresolved	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	none
wts_1_34	47	196	3	བོང	bon	boṅ	suffix_coda			token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	role_unresolved	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	none
wts_1_34	48	99	2	ཀིང	kin	kiṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	48	99	2	ཀིང	kin	kiṅ	pre_coda_structural_unit	ཀི	ki	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	49	149	4	གླིང	glin	gliṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	49	149	4	གླིང	glin	gliṅ	pre_coda_structural_unit	གླི	gli	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	49	157	4	བྲང	bran	braṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	49	157	4	བྲང	bran	braṅ	pre_coda_structural_unit	བྲ	bra	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	49	206	4	བྲང	bran	braṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	49	206	4	བྲང	bran	braṅ	pre_coda_structural_unit	བྲ	bra	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	50	34	2	ཚང	tshan	tshaṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	50	34	2	ཚང	tshan	tshaṅ	pre_coda_structural_unit	ཚ	tsha	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	51	40	3	མང	man	maṅ	suffix_coda			token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	role_unresolved	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	none
wts_1_34	52	69	3	ཚང	tshan	tshaṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	52	69	3	ཚང	tshan	tshaṅ	pre_coda_structural_unit	ཚ	tsha	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	52	81	3	སྐྱོང	skyon	skyoṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	52	81	3	སྐྱོང	skyon	skyoṅ	pre_coda_structural_unit	སྐྱོ	skyo	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	52	81	4	དབང	dban	dbaṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	52	81	4	དབང	dban	dbaṅ	pre_coda_structural_unit	དབ	dba	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	52	85	3	ཕྲེང	phren	phreṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	52	85	3	ཕྲེང	phren	phreṅ	pre_coda_structural_unit	ཕྲེ	phre	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	52	135	3	རང	ran	raṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	52	135	3	རང	ran	raṅ	pre_coda_structural_unit	ར	ra	pre_coda_stem	reviewed_tibetan_exact_script_ng_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	52	135	4	བྱུང	byun	byuṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	52	135	4	བྱུང	byun	byuṅ	pre_coda_structural_unit	བྱུ	byu	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	52	166	2	རང	ran	raṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	52	166	2	རང	ran	raṅ	pre_coda_structural_unit	ར	ra	pre_coda_stem	reviewed_tibetan_exact_script_ng_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	52	166	3	བྱུང	byun	byuṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	52	166	3	བྱུང	byun	byuṅ	pre_coda_structural_unit	བྱུ	byu	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	54	18	1	ཀིང	kin	kiṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	54	18	1	ཀིང	kin	kiṅ	pre_coda_structural_unit	ཀི	ki	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	54	45	1	ཀིང	kin	kiṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	54	45	1	ཀིང	kin	kiṅ	pre_coda_structural_unit	ཀི	ki	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	54	47	1	ཀིང	kin	kiṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	54	47	1	ཀིང	kin	kiṅ	pre_coda_structural_unit	ཀི	ki	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	54	70	1	ཀིང	kin	kiṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	54	70	1	ཀིང	kin	kiṅ	pre_coda_structural_unit	ཀི	ki	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	54	134	2	བྱང	byan	byaṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	54	134	2	བྱང	byan	byaṅ	pre_coda_structural_unit	བྱ	bya	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	54	164	3	ཁོང	khon	khoṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_historical_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	54	164	3	ཁོང	khon	khoṅ	pre_coda_structural_unit	ཁོ	kho	pre_coda_stem	reviewed_tibetan_exact_final_ng_historical_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	54	168	3	ཀོང	kon	koṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	54	168	3	ཀོང	kon	koṅ	pre_coda_structural_unit	ཀོ	ko	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	54	191	3	ཕྲེང	phren	phreṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	54	191	3	ཕྲེང	phren	phreṅ	pre_coda_structural_unit	ཕྲེ	phre	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	54	214	2	ཚང	tshan	tshaṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
