batch_id	frozen_prepass_sha	tibetan_syllable	positional_evidence	frozen_positional_count	actual_positional_overrides	echo_evidence	frozen_echo_candidate_count	echo_decisions_accepted	echo_decisions_deferred	echo_decisions_rejected	echo_decisions_resolved_elsewhere	echo_candidates_not_yet_reviewed	positional_queue_delta	total_echo_diagnostic_delta	active_echo_queue_delta	total_overrides_added
tibetan_glang_20260719	6322c7255cfba2fcfaf678cec656e65496ed5f12	གླང	tibetan_glang_consensus_batch_20260719	44	44	tibetan_glang_same_entry_echo_batch_20260719	2	2	0	0	0	0	44	2	2	46
tibetan_bzang_20260719	3051b3394a49345a5202259f3466ef794177701b	བཟང	tibetan_bzang_consensus_batch_20260719	37	37	tibetan_bzang_same_entry_echo_batch_20260719	5	2	2	1	0	0	37	2	5	39
tibetan_dung_20260719	3051b3394a49345a5202259f3466ef794177701b	དུང	tibetan_dung_consensus_batch_20260719	37	37	tibetan_dung_same_entry_echo_batch_20260719	5	4	1	0	0	0	37	4	5	41
tibetan_gling_20260719	3051b3394a49345a5202259f3466ef794177701b	གླིང	tibetan_gling_consensus_batch_20260719	34	34	tibetan_gling_same_entry_echo_batch_20260719	4	1	3	0	0	0	34	1	4	35
tibetan_chang_20260719	3051b3394a49345a5202259f3466ef794177701b	ཆང	tibetan_chang_consensus_batch_20260719	31	31	tibetan_chang_same_entry_echo_batch_20260719	6	5	1	0	0	0	31	5	6	36
tibetan_mthong_20260719	3051b3394a49345a5202259f3466ef794177701b	མཐོང	tibetan_mthong_consensus_batch_20260719	31	31	tibetan_mthong_same_entry_echo_batch_20260719	2	1	1	0	0	0	31	1	2	32
tibetan_ring_20260719	3051b3394a49345a5202259f3466ef794177701b	རིང	tibetan_ring_consensus_batch_20260719	30	30	tibetan_ring_same_entry_echo_batch_20260719	3	0	3	0	0	0	30	0	3	30
