volume	page	line	token_index	tibetan_syllable	old_token	current_token	migration_class	context_excerpt
wts_1_34	71	199	0	པ	berwinden		former_fragment_or_gloss_alignment_removed	ཀུན་ཏུ་འཇོམས་པ་ kun tu 7:07775 pa überwinden, ver-
wts_1_34	71	199	6	པ		überwinden	newly_visible_unicode_token	ཀུན་ཏུ་འཇོམས་པ་ kun tu 7:07775 pa überwinden, ver-
wts_1_34	72	15	5	པ	v	völlig	unicode_latin_token_extent_repaired	ཀུན་ཏུ་མཉམ་པ་ kun tu ?77777777 pa völlig gleich sein,
wts_1_34	75	206	7	པ	Anh	Anhänger	unicode_latin_token_extent_repaired	ཀུན་ཏུ་འཚོ་བ་པ་ kun tn 75/70 ba pa Anhänger einer
wts_1_34	77	128	4	པ	anh	anhäufen	unicode_latin_token_extent_repaired	ཀུན་ཏུ་གསོག་པ་ kun tu gsogpa anhäufen; vgl. !kun
wts_1_34	80	48	0	བ	in		former_fragment_or_gloss_alignment_removed	ཀུན་ནས་རྙིང་བ་ kun nas räin ba verwelken, ver-
wts_1_34	80	48	3	རྙིང	r	räin	unicode_latin_token_extent_repaired	ཀུན་ནས་རྙིང་བ་ kun nas räin ba verwelken, ver-
wts_1_34	80	48	4	བ		ba	new_alignment_requires_review	ཀུན་ནས་རྙིང་བ་ kun nas räin ba verwelken, ver-
wts_1_34	82	106	3	ལང	lani	laṅ	unicode_latin_token_extent_repaired	ཀུན་ནས་ལང་བ་ kun nas laṅ ba sich erheben, her-
wts_1_34	82	166	2	སྣང	snaṅ	snaṅı	dotless_i_token_merged_correctly	ཀུན་སྣང་ kun snaṅı
wts_1_34	85	49	2	གཞི	g	gäi	unicode_latin_token_extent_repaired	ཀུན་གཞི་ kun gäi
wts_1_34	85	76	2	གཞི	g	gäi	unicode_latin_token_extent_repaired	ཀུན་གཞི་ kun gäi.
wts_1_34	94	133	4	གཞི	g	gäi	unicode_latin_token_extent_repaired	ཀོ་ལྤགས་ཀྱི་གཞི་ ko lpags kyi gäi einer der 17 gäi
wts_1_34	95	19	0	ཏཱཱ	ra		former_fragment_or_gloss_alignment_removed	ཀོཿ བ་ཏཱཱ་ར་ ko batära \ko bi da ra.
wts_1_34	95	19	2	བ	bat	batära	unicode_latin_token_extent_repaired	ཀོཿ བ་ཏཱཱ་ར་ ko batära \ko bi da ra.
wts_1_34	95	19	3	ཏཱཱ	ko	ko	alignment_change_requires_review	ཀོཿ བ་ཏཱཱ་ར་ ko batära \ko bi da ra.
wts_1_34	95	19	4	ར		bi	new_alignment_requires_review	ཀོཿ བ་ཏཱཱ་ར་ ko batära \ko bi da ra.
wts_1_34	99	199	0	ངྲ	un		former_fragment_or_gloss_alignment_removed	ཀོས་ ངྲ་ £6$5 säun, auch kos smyun schmales
wts_1_34	99	199	2	ཀོས	s		former_alignment_requires_review	ཀོས་ ངྲ་ £6$5 säun, auch kos smyun schmales
wts_1_34	103	104	3	ཤོབ	unversch	unverschämt	unicode_latin_token_extent_repaired	ཀྱག་ཤོབ་ kyag 405 unverschämt.
wts_1_34	104	113	0	པ	berschu		former_fragment_or_gloss_alignment_removed	ཀྱ་མས་པ་ kyams pa Überschuß, Rest.
wts_1_34	104	113	3	པ		Überschuß	newly_visible_unicode_token	ཀྱ་མས་པ་ kyams pa Überschuß, Rest.
wts_1_34	108	183	2	རཱ	r	rä	unicode_latin_token_extent_repaired	ཀཱྩ་རཱ་ཛ་ krsna rä dza auch krsna ra dza npr. ein
wts_1_34	112	114	0	པོ	in		former_fragment_or_gloss_alignment_removed	ཀླུ་སྒྲབ་སྙིང་པོ་ klu sgrub säin po
