tibetan_syllable	true_canonical	predicted_form	component_rule_ids	parsed_roles	predicted_role_spans	canonical_segmentation	first_divergence	contributing_rules	likely_missing_interaction	rule_supporting_syllables	disposition
བདན	bdun	bdan	CORPUS_F39DE6FEA67D;RESIDUAL_C2670784C902;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	prefix:བ;root_consonant:ད;vowel:a;suffix_coda:ན	prefix[0:1]=b;root_consonant[1:2]=d;vowel[2:3]=a;suffix_coda[3:4]=n	unresolved_at_first_divergence	2	CORPUS_F39DE6FEA67D;RESIDUAL_C2670784C902;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	structural_interaction_unresolved	ཀན;ཁབ;ཁར;ཁོན;ཁྲག;ཁྲམ;ཁྲལ;ཁྲོན;གཅད;གདན;གདུང;གདུབ;གདོང;གདོན;གསལ;གྲས;གླང;ཆག;ཆང;ཆད;ཆར;ཆུན;ཆེན;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;ཐུན;ཐེན;ཐོན;དམན;དུ;དོ;དྲིལ;དྲུག;དྲོ;དྲོད;ནོན;པན;པར;ཕག;ཕད;ཕན;ཕབ;ཕོན;ཕྱགས;ཕྱད;ཕྱིན;ཕྲན;བཅད;བདག;བདར;བདུན;བཙན;བཞི;བཟློག;བརྒྱུད;བརྟགས;བརྟུལ;བརྟེན;བརྡ;བརྡབ;བརྡར;བརྡེག;བརྡོལ;བརྩན;བསྐལ;བསྐོར;བསྐྱེད;བསྒྱུར;བསྟན;བསྟོད;བསྡུ;བསྡུས;བྱད;བྱན;བྱིན;བྲན;བྲལ;བློན;མཁན;མཐུན;མདོག;མཚར;མཛད;ཙ;ཚགས;ཚར;ཚུན;ཛ;ཟ;ཟན;འཁར;ཡན;ཡིན;ཡོན;རལ;རས;རྒྱུན;རྟགས;རྡལ;རྡུགས;རྡུལ;རྡོག;རྡོལ;རྡོས;རྩེན;ལག;ལང;ལས;ལེན;ཤན;སར;སྐར;སྟན;སྟོན;སྡོད;སྡོམ;སྣ;སྤྱད;སྤྱན;སྦྱང;སྦྱར	block_context_retain_rules_outside_failed_interaction
རྟལ	rtul	rtal	CORPUS_987FBEB04DC6;RESIDUAL_381523970DB6;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	superscript:ར;root_consonant:ཏ;vowel:a;suffix_coda:ལ	superscript[0:1]=r;root_consonant[1:2]=t;vowel[2:3]=a;suffix_coda[3:4]=l	unresolved_at_first_divergence	2	CORPUS_987FBEB04DC6;RESIDUAL_381523970DB6;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	structural_interaction_unresolved	ཀན;ཁབ;ཁར;ཁུལ;ཁེལ;ཁོལ;ཁྲག;ཁྲམ;ཁྲལ;ཁྲོལ;གཅད;གཏད;གཏུམ;གཏོང;གཏོར;གདན;གསལ;གྲས;གྲོལ;གླང;ཆག;ཆང;ཆད;ཆར;ཆལ;ཏན;ཏི;ཏིག;ཏོག;ཏྲ;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;ཐུལ;ཐེལ;པར;ཕག;ཕད;ཕན;ཕབ;ཕུལ;ཕྱགས;ཕྱད;ཕྱལ;ཕྲན;བཅོལ;བཏགས;བཏང;བཏབ;བཙན;བཙལ;བརྟག;བརྟགས;བརྟུལ;བརྟོལ;བརྡར;བརྩན;བསྟན;བསྟོད;བྱད;བྱན;བྲལ;བྲེལ;མཚར;མཛད;ཙ;ཚགས;ཚར;ཚིལ;ཚུལ;ཚོལ;ཛ;ཟ;འཁར;འཁོལ;ཡན;ཡུལ;ཡོལ;རལ;རས;རིལ;རྒོལ;རྟ;རྟགས;རྟུལ;རྟོག;རྟོགས;རྡལ;རྡེལ;རྡོལ;རྩ;རྩལ;རྫི;ལག;ལང;ལས;ཤེལ;སར;སེལ;སྐར;སྐལ;སྐྱིལ;སྐྱེལ;སྒྲོལ;སྟག;སྟན;སྟོང;སྟོད;སྟོན;སྟོབས;སྣ;སྤྱད;སྦྱང;སྦྱར;སྲོལ	block_context_retain_rules_outside_failed_interaction
རྡ	rdo	rda	CORPUS_987FBEB04DC6;RESIDUAL_C2670784C902;CORPUS_01025FAF5D30	superscript:ར;root_consonant:ད;vowel:a	superscript[0:1]=r;root_consonant[1:2]=d;vowel[2:3]=a	unresolved_at_first_divergence	2	CORPUS_987FBEB04DC6;RESIDUAL_C2670784C902;CORPUS_01025FAF5D30	structural_interaction_unresolved	ཀན;ཁབ;ཁར;ཁྲག;ཁྲམ;ཁྲལ;གཅད;གདན;གདུང;གདུབ;གདོང;གདོན;གསལ;གྲས;གླང;ཆག;ཆང;ཆད;ཆར;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;དུ;དོ;དྲིལ;དྲུག;དྲོ;དྲོད;པར;ཕག;ཕད;ཕན;ཕབ;ཕྱགས;ཕྱད;ཕྲན;བདག;བདར;བདུན;བཙན;བརྟགས;བརྡ;བརྡབ;བརྡར;བརྡོལ;བརྩན;བསྡུ;བསྡུས;བྱད;བྱན;བྲལ;མདོག;མཚར;མཛད;ཙ;ཚགས;ཚར;ཛ;ཟ;འཁར;ཡན;རལ;རས;རྟགས;རྟོག;རྡལ;རྡུགས;རྡུལ;རྡོག;རྡོལ;རྡོས;རྩ;རྫི;ལག;ལང;ལས;སར;སྐར;སྟན;སྡོད;སྡོམ;སྣ;སྤྱད;སྦྱང;སྦྱར	block_context_retain_rules_outside_failed_interaction
